kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,ra,dec
7970194,K05453.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,190.65896,1.95E-02,-1.95E-02,164.9278,9.15E-02,-9.15E-02,0.9508,0.0019,-0.6678,35.472,0.894,-0.894,5.53E+02,3.36E+01,-3.36E+01,0.027887,1.00E-06,-7.06E-03,2.54,1.02E+00,-2.00E-01,18.3,295.27673,43.706509
7978202,K05454.01,Kepler-1630 b,CONFIRMED,CANDIDATE,,0,0,0,0,509.997402,3.26E-03,-3.26E-03,276.73122,3.91E-03,-3.91E-03,0.0254,0.4275,-0.0248,8.481,0.165,-0.165,1.27E+03,4.52E+01,-4.52E+01,0.031704,1.36E-03,-7.23E-04,2.62,4.50E-01,-2.70E-01,35.3,297.5083,43.710949
8823893,K05575.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,1.50650036,1.76E-05,-1.76E-05,132.9895,1.21E-02,-1.21E-02,0.684,0.288,-0.45,2.762,0.285,-0.285,4.54E+01,3.70E+00,-3.70E+00,0.006558,1.24E-03,-4.75E-04,0.81,2.50E-01,-1.40E-01,15,293.79514,45.098499
8836224,K05576.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,194.4873221,,,155.0535312,,,,,,3.6,,,,,,,,,,,,,297.73325,45.078861
8841297,K05577.01,,CANDIDATE,CANDIDATE,,0,0,0,0,495.51899,1.42E-02,-1.42E-02,452.8313,1.27E-02,-1.27E-02,0.6052,0.0136,-0.4854,3.592,0.653,-0.653,2.98E+02,5.37E+01,-5.37E+01,0.016489,1.11E-03,-2.05E-03,2.94,1.33E+00,-9.60E-01,6.6,299.07831,45.05481
8868481,K05578.01,,CANDIDATE,CANDIDATE,,0,0,0,0,388.048463,6.31E-03,-6.31E-03,295.8353,1.47E-02,-1.47E-02,0.1973,0.258,-0.1972,3.456,0.603,-0.603,1.50E+02,2.01E+01,-2.01E+01,0.011183,7.59E-04,-1.02E-03,3,1.40E-01,-1.40E-01,8.3,284.31519,45.132259
8888745,K05579.01,,CANDIDATE,CANDIDATE,,0,0,0,0,34.0269868,4.38E-04,-4.38E-04,164.79638,9.31E-03,-9.31E-03,0.5682,0.0076,-0.5003,1.586,0.394,-0.394,3.62E+02,7.91E+01,-7.91E+01,0.017904,1.45E-03,-3.08E-03,1.57,2.63E+00,-1.50E-01,6.2,293.01563,45.16674
8890417,K05580.01,,CANDIDATE,CANDIDATE,,0,0,0,0,173.219879,2.86E-03,-2.86E-03,201.2993,1.19E-02,-1.19E-02,0.5113,0.4676,-0.2697,1.875,0.411,-0.411,2.40E+02,5.60E+01,-5.60E+01,0.014561,1.28E-03,-2.63E-03,2.41,1.22E+00,-6.50E-01,5.7,293.61044,45.160938
8891684,K05581.01,Kepler-1634 b,CONFIRMED,CANDIDATE,0.968,0,0,0,0,374.878133,7.79E-03,-7.79E-03,491.064,9.29E-03,-9.29E-03,0.626,0.311,-0.394,10.556,0.401,-0.401,9.15E+02,4.81E+01,-4.81E+01,0.028862,6.81E-03,-1.68E-03,4.27,1.07E+00,-1.18E+00,21.9,294.0434,45.139778
8904714,K05582.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,5.2362026,2.93E-04,-2.93E-04,133.7395,7.78E-02,-7.78E-02,1.379,6.836,-0.017,3.148,0.134,-0.134,2.02E+03,8.56E+01,-8.56E+01,0.42575,6.83E+00,-1.86E-02,75.83,2.26E+01,-2.26E+01,28.2,297.94617,45.10014
